"","gene_id","logFC","FDR"
"1","PF3D7_0103600",-0.559857,0.0322225
"2","PF3D7_0205700",-0.912198,0.0651429
"3","PF3D7_0208200",-0.76172,0.414535
"4","PF3D7_0209800",-1.32967,0.000168886
"5","PF3D7_0216200",-1.23399,0.0643659
"6","PF3D7_0218400",-0.687547,0.08855
"7","PF3D7_0302800",2.61581,0.000612693
"8","PF3D7_0309800",1.83839,0.000168886
"9","PF3D7_0310500",0.296712,0.359814
"10","PF3D7_0311100",1.7194,0.000168886
"11","PF3D7_0315600",1.18868,0.0200023
"12","PF3D7_0315800",-0.325761,0.776185
"13","PF3D7_0319500",-0.236511,0.435709
"14","PF3D7_0320800",-1.67552,0.000168886
"15","PF3D7_0321600",-0.424834,0.353119
"16","PF3D7_0405000",-2.86007,0.000168886
"17","PF3D7_0405400",0.61237,0.00895358
"18","PF3D7_0408300",0.568506,0.441524
"19","PF3D7_0409800",-0.730524,0.0308785
"20","PF3D7_0411400",2.03708,0.014916
"21","PF3D7_0414500",4.84592,0.000168886
"22","PF3D7_0415500",-0.264898,0.508029
"23","PF3D7_0416000",1.0443,0.000168886
"24","PF3D7_0417100",-0.494811,0.347551
"25","PF3D7_0418700",-0.664285,0.035773
"26","PF3D7_0422500",0.88936,0.000470536
"27","PF3D7_0422700",0.761572,0.0508287
"28","PF3D7_0503300",1.49053,0.000168886
"29","PF3D7_0504200",-2.28522,0.00258958
"30","PF3D7_0504400",-1.05905,0.0183665
"31","PF3D7_0508700",-0.484466,0.0403063
"32","PF3D7_0510100",2.72247,0.000168886
"33","PF3D7_0515000",0.780692,0.00336451
"34","PF3D7_0516600",0.454676,0.224496
"35","PF3D7_0517300",-0.222087,0.409016
"36","PF3D7_0517700",-0.525089,0.0941678
"37","PF3D7_0518500",1.24983,0.000168886
"38","PF3D7_0518700",1.46792,0.000168886
"39","PF3D7_0519500",0.942789,0.000168886
"40","PF3D7_0521700",0.474612,0.42171
"41","PF3D7_0522900",-0.718173,0.00314684
"42","PF3D7_0525000",-1.05954,0.00282063
"43","PF3D7_0527900",-0.617679,0.12151
"44","PF3D7_0529500",-0.0169409,0.970261
"45","PF3D7_0531400",1.28381,0.0355402
"46","PF3D7_0602000",1.45336,0.000168886
"47","PF3D7_0602100",-0.0455856,0.893729
"48","PF3D7_0603100",-0.366729,0.329857
"49","PF3D7_0605100",1.9092,0.000168886
"50","PF3D7_0606100",1.50968,0.000168886
"51","PF3D7_0606500",1.00623,0.00498149
"52","PF3D7_0610200",1.18223,0.000168886
"53","PF3D7_0615700",1.75758,0.000470536
"54","PF3D7_0619900",-1.00608,0.136242
"55","PF3D7_0623100",0.602901,0.012866
"56","PF3D7_0623400",-2.45405,0.00402937
"57","PF3D7_0623600",0.197276,0.582241
"58","PF3D7_0623700",-0.89562,0.0430825
"59","PF3D7_0629400",0.420362,0.140214
"60","PF3D7_0630900",1.56168,0.268261
"61","PF3D7_0703500",0.447329,0.0399296
"62","PF3D7_0716000",1.77708,0.000168886
"63","PF3D7_0721300",1.78951,0.000168886
"64","PF3D7_0723900",0.937039,0.00127053
"65","PF3D7_0728900",0.206137,0.583175
"66","PF3D7_0807100",0.610938,0.0607948
"67","PF3D7_0810600",0.172233,0.469763
"68","PF3D7_0811900",-3.67826,0.00465007
"69","PF3D7_0812500",1.20222,0.000168886
"70","PF3D7_0812700",0.820577,0.149518
"71","PF3D7_0814200",-2.08897,0.000168886
"72","PF3D7_0815600",-1.76005,0.000168886
"73","PF3D7_0818100",1.72861,0.0167698
"74","PF3D7_0821300",-2.31042,0.000168886
"75","PF3D7_0823200",0.506182,0.0652864
"76","PF3D7_0827000",0.899988,0.0072156
"77","PF3D7_0903400",0.802195,0.114228
"78","PF3D7_0906600",0.41546,0.271589
