"","logFC","logCPM","F","PValue","FDR"
"PY17X_0804200",11.3846843641416,9.3087865393232,4060.03122751882,1.20907761936491e-14,1.09775272503924e-11
"PY17X_0516000",-7.96241701268059,15.031064991321,3921.26070243871,1.44402138685236e-14,1.09775272503924e-11
"PY17X_1345100",11.1887031333402,11.1259849543456,3891.48835697683,1.50132107239323e-14,1.09775272503924e-11
"PY17X_0814000",-8.99469079279527,12.0671646193979,3884.12826491962,1.51590275629133e-14,1.09775272503924e-11
"PY17X_1248700",-8.9656256685492,10.4396864125257,3833.13378850161,1.62171818663449e-14,1.09775272503924e-11
"PY17X_1319100",-9.50640107113053,11.6923033788524,3788.67208123624,1.72125211752513e-14,1.09775272503924e-11
"PY17X_0302200",-8.34825727830613,11.0591057873078,3545.93459416737,2.41348085591355e-14,1.09775272503924e-11
"PY17X_1419100",-9.20386046674123,10.4033013260224,3403.22143154421,2.97650025890817e-14,1.09775272503924e-11
"PY17X_1339700",-8.8053927360603,10.2688661349664,3379.60783150321,3.08417911639355e-14,1.09775272503924e-11
"PY17X_0518700",-9.75701012465182,10.3434599664026,3318.54659604409,3.38495420930761e-14,1.09775272503924e-11
"PY17X_0515900",-8.71266630189115,14.292839403241,3280.39400890303,3.59072484394274e-14,1.09775272503924e-11
"PY17X_0608700",-8.84863732989443,11.5839729761556,3273.3440941089,3.63036663485331e-14,1.09775272503924e-11
"PY17X_1309100",9.86622979096422,9.92296352518439,3226.14334122183,3.90968695116581e-14,1.09775272503924e-11
"PY17X_1357300",9.29143768844167,10.3680910672263,3199.94628218786,4.07579153423654e-14,1.09775272503924e-11
"PY17X_0912400",9.53751541717765,7.44286299446816,3174.08202085684,4.24812877507689e-14,1.09775272503924e-11
"PY17X_0509000",10.2780969503858,7.70667041364592,3136.3013314678,4.51579574329557e-14,1.09775272503924e-11
"PY17X_0205000",-8.76227424301938,9.64562498738628,3130.46710555041,4.55890512036365e-14,1.09775272503924e-11
"PY17X_0513100",-9.29195082248599,9.7827829187478,3114.39039019794,4.68026698550951e-14,1.09775272503924e-11
"PY17X_1342800",-7.46465280343688,10.7687231725975,3091.57785107979,4.8591743823132e-14,1.09775272503924e-11
"PY17X_0707400",-7.25017949027629,13.0847061519527,3067.15268448624,5.05987069111298e-14,1.09775272503924e-11
"PY17X_1329200",-8.99867067773001,8.66582148364945,3062.26998888816,5.10117067521941e-14,1.09775272503924e-11
"PY17X_0623000",-7.76163758049336,10.5665669055382,3021.7917929084,5.45953438747503e-14,1.09775272503924e-11
