run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	submitted_aspera	sra_ftp	sample_title
ERR5909890	SAMEA8725392	ERX5551017	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909890/ERR5909890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/000/ERR5909890/ERR5909890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909890/22530_1#1.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909890/22530_1#1.cram		4472STDY6861921
ERR5909892	SAMEA8725394	ERX5551019	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909892/ERR5909892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909892/ERR5909892_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909892/22530_1#3.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909892/22530_1#3.cram		4472STDY6861923
ERR5909895	SAMEA8725397	ERX5551022	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909895/ERR5909895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/005/ERR5909895/ERR5909895_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909895/22530_1#6.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909895/22530_1#6.cram		4472STDY6861926
ERR5909896	SAMEA8725398	ERX5551023	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909896/ERR5909896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/006/ERR5909896/ERR5909896_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909896/22530_1#7.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909896/22530_1#7.cram		4472STDY6861927
ERR5909897	SAMEA8725399	ERX5551024	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909897/ERR5909897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/007/ERR5909897/ERR5909897_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909897/22530_1#8.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909897/22530_1#8.cram		4472STDY6861928
ERR5909898	SAMEA8725581	ERX5551025	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909898/ERR5909898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/008/ERR5909898/ERR5909898_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909898/22530_1#9.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909898/22530_1#9.cram		4472STDY6862109
ERR5909899	SAMEA8725580	ERX5551026	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909899/ERR5909899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/009/ERR5909899/ERR5909899_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909899/22530_1#10.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909899/22530_1#10.cram		4472STDY6862110
ERR5909901	SAMEA8725583	ERX5551028	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909901/ERR5909901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/001/ERR5909901/ERR5909901_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909901/22530_1#12.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909901/22530_1#12.cram		4472STDY6862112
ERR5909902	SAMEA8725584	ERX5551029	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909902/ERR5909902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/002/ERR5909902/ERR5909902_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909902/22530_1#13.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909902/22530_1#13.cram		4472STDY6862113
ERR5909903	SAMEA8725586	ERX5551030	PRJEB44892	5821	Plasmodium berghei	SC_EXP_22530_1#14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909903/ERR5909903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR590/003/ERR5909903/ERR5909903_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR590/ERR5909903/22530_1#14.cram	fasp.sra.ebi.ac.uk:/vol1/run/ERR590/ERR5909903/22530_1#14.cram		4472STDY6862114
