# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/nc_removed_data/Count/output.txt" "WT_female_R1.bam.sort.bam" "WT_female_R2.bam.sort.bam" "WT_female_R3.bam.sort.bam" "WT_male_R1.bam.sort.bam" "WT_male_R2.bam.sort.bam" "WT_male_R3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	WT_female_R1.bam.sort.bam	WT_female_R2.bam.sort.bam	WT_female_R3.bam.sort.bam	WT_male_R1.bam.sort.bam	WT_male_R2.bam.sort.bam	WT_male_R3.bam.sort.bam
PY17X_0700003	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	3127;3282;4230	3192;4124;4244	-;-;-	924	43	34	33	20	2	8
PY17X_0700005	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	6596;6773;7714	6682;7576;7728	-;-;-	906	8	5	10	59	66	49
PY17X_0700007	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	10283;10480;11432	10375;11295;11464	-;-;-	942	2	0	0	18	2	12
PY17X_0700009	Py17X_07_v3;Py17X_07_v3	14344;15201	15033;15269	-;-	759	34	49	64	0	0	0
PY17X_0700011	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	17422;17591;18586	17487;18448;18600	-;-;-	939	0	0	0	0	0	0
PY17X_0700013	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	20870;21047;21916	20956;21790;21930	-;-;-	846	0	0	0	0	2	0
PY17X_0700015	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	25598;25872;26204;26477;26667;27056	25737;26115;26273;26586;26855;27079	+;+;+;+;+;+	777	309	208	199	6	0	0
PY17X_0700017	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	27995;28273;28585;28799;28993;29328	28125;28495;28654;28908;29211;29423	+;+;+;+;+;+	849	2	0	24	2	2	2
PY17X_0700019	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	30547;30723;31683	30633;31571;31697	-;-;-	951	0	0	0	0	0	0
PY17X_0700021	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	34078;34252;35113	34167;34992;35127	-;-;-	846	0	0	0	2	0	0
PY17X_0700023	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	38130;38445;38788;39021;39211;39575	38308;38691;38857;39130;39444;39598	+;+;+;+;+;+	864	120	98	110	0	0	0
PY17X_0700025	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	40540;40716;41673	40626;41561;41687	-;-;-	948	6	18	6	6	0	0
PY17X_0700027	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	43992;44165;45086	44078;44977;45100	-;-;-	915	2	8	6	4	2	1
PY17X_0700029	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	47696;47850;48748	47761;48611;48762	-;-;-	843	0	0	0	0	0	0
PY17X_0700031	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	51288;51442;52437	51353;52311;52454	-;-;-	954	0	0	0	0	0	10
PY17X_0700033	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	54850;55041;55978	54936;55856;55992	-;-;-	918	21	20	41	1	5	10
PY17X_0700035	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	58513;58702;59582	58611;59445;59596	-;-;-	858	14	7	4	0	0	4
PY17X_0700037	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	61924;62080;63078	61989;62952;63095	-;-;-	957	11	4	2	0	1	0
PY17X_0700039	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	65441;65594;66153;66464	65506;66150;66345;66478	-;-;-;-	831	9	12	0	6	0	2
PY17X_0700041	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	68778;68952;69893	68864;69755;69907	-;-;-	906	6	2	0	2	2	7
PY17X_0700043	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	72293;72464;73352	72379;73243;73366	-;-;-	882	13	5	0	0	4	2
PY17X_0700045	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	76194;76385;77395	76280;77257;77409	-;-;-	975	0	0	0	2	2	8
PY17X_0700047	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	79676;79827;80677	79741;80558;80691	-;-;-	813	0	0	0	0	0	0
PY17X_0700049	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	83048;83225;84153	83134;84016;84167	-;-;-	894	0	0	0	0	0	0
PY17X_0700051	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	86512;86689;87612	86598;87504;87626	-;-;-	918	0	0	0	0	0	0
PY17X_0700053	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	90210;90360;91252	90275;91115;91266	-;-;-	837	0	0	2	0	0	2
PY17X_0700055	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	93488;93677;94554	93586;94429;94568	-;-;-	867	0	0	0	0	0	0
PY17X_0700057	Py17X_07_v3;Py17X_07_v3	97359;98222	98048;98290	-;-	759	4	0	0	0	0	0
PY17X_0700059	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	100533;100834;101148;101334;101534;101892	100663;101056;101217;101443;101755;101987	+;+;+;+;+;+	852	1	2	0	71	87	148
PY17X_0700061	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	103266;103422;104405	103331;104267;104419	-;-;-	927	4	2	0	0	0	0
PY17X_0700063	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	106783;106974;107894	106869;107756;107908	-;-;-	885	5	17	15	6	0	4
PY17X_0700065	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	110261;110437;111325	110347;111216;111339	-;-;-	882	30	36	25	56	43	83
PY17X_0700067	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	114044;114198;115183	114109;115049;115197	-;-;-	933	358	453	198	55	46	51
PY17X_0700069	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	118278;118433;119427	118343;119290;119441	-;-;-	939	7	6	4	2	0	0
PY17X_0700071	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	121807;121957;122961	121869;122823;122975	-;-;-	945	2	2	3	5	0	2
PY17X_0700073	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	125549;125703;126701	125614;126575;126718	-;-;-	957	0	0	4	0	0	0
PY17X_0700075	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	129069;129321;129555;130163	129155;129552;130054;130177	-;-;-;-	834	0	0	0	0	0	0
PY17X_0700077	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	132726;132914;133807	132812;133696;133818	-;-;-	882	3	2	2	7	4	0
PY17X_0700079	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	136687;136842;137868	136752;137729;137882	-;-;-	969	9	21	2	0	0	0
PY17X_0700081	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	140081;140270;141154	140179;141019;141168	-;-;-	864	0	3	0	0	0	0
PY17X_0700083	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	143743;143866;144031	143775;144029;144640	-;-;-	807	0	0	1	0	0	1
PY17X_0700085	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	147108;147332;149580	147221;149473;149597	-;-;-	2274	0	0	0	1	0	0
PY17X_0700089	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	152442;152708;153041;153281;153465;153852	152572;152945;153110;153384;153695;153893	+;+;+;+;+;+	816	3	1	2	0	8	0
PY17X_0700093	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	154386;155098;156550	155009;156432;156564	-;-;-	1974	1	0	4	20	10	39
PY17X_0700097	Py17X_07_v3	164665	169629	+	4965	103	154	168	775	507	722
PY17X_0700100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	175389;175422;175662;175995;176185;176384	175419;175518;175899;176064;176294;176512	+;+;+;+;+;+	675	1101	1007	1040	25	46	27
PY17X_0700200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	177336;178201;180927	178112;180804;180941	-;-;-	3396	20	36	30	86	41	78
PY17X_0700300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	183824;184100;184433;184673;184870;185245	183954;184337;184502;184776;185100;185295	+;+;+;+;+;+	825	7	12	12	3	12	4
PY17X_0700400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	185795;186741;188252	186652;188129;188266	-;-;-	2262	0	0	0	34	42	41
PY17X_0700500	Py17X_07_v3;Py17X_07_v3	191291;192121	191947;192189	-;-	726	81	61	60	10	13	28
PY17X_0700600	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	194759;195252;195584;195825;196022;196409	195108;195489;195653;195928;196252;196432	+;+;+;+;+;+	1017	560	562	955	177	193	267
PY17X_0700700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	198238;198537;198886;199114;199324;199754	198368;198789;198952;199223;199557;199858	+;+;+;+;+;+	900	26	50	147	870	981	1160
PY17X_0700800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	202753;203725;203770;203855;203901;204049;204338	203545;203768;203853;203899;203957;204118;204441	+;+;+;+;+;+;+	1197	2749	2361	3478	1625	1402	1780
PY17X_0700900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	207356;207662;207995;208222;208418;208799	207486;207896;208064;208322;208636;208903	+;+;+;+;+;+	861	1867	1592	2154	447	476	593
PY17X_0701000	Py17X_07_v3;Py17X_07_v3	213493;214282	214101;214362	-;-	690	2015	1792	2029	2225	2189	2612
PY17X_0701100	Py17X_07_v3;Py17X_07_v3	215669;215931	215739;216489	+;+	630	2723	2233	3141	14765	16319	18191
PY17X_0701110	Py17X_07_v3	219119	221175	+	2057	2	0	0	1	2	1
PY17X_0701131	Py17X_07_v3	221512	221665	+	154	0	0	0	0	1	0
PY17X_0701151	Py17X_07_v3	221997	225722	+	3726	0	0	0	0	2	0
PY17X_0701171	Py17X_07_v3	227506	228402	-	897	1565	1313	1382	461	365	572
PY17X_0701200	Py17X_07_v3;Py17X_07_v3	229906;233493	233378;233550	-;-	3531	294	254	591	212	212	175
PY17X_0701300	Py17X_07_v3;Py17X_07_v3	236339;236763	236509;237866	+;+	1275	3016	2811	3340	2343	2257	2617
PY17X_0701400	Py17X_07_v3;Py17X_07_v3	239193;239648	239458;239876	-;-	495	1871	1764	2230	6075	8183	7766
PY17X_0701500	Py17X_07_v3	243086	250807	+	7722	588	729	666	85	48	40
PY17X_0701600	Py17X_07_v3	251459	252826	+	1368	77	158	128	1	3	11
PY17X_0701700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	253760;253903;254103;254376	253771;253981;254265;254409	-;-;-;-	288	740	816	1008	172	279	316
PY17X_0701800	Py17X_07_v3	255765	256583	-	819	1266	803	1386	363	394	458
PY17X_0701900	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	257789;257935;258158;258379;258702;258944;259238	257830;258030;258228;258469;258794;259045;259393	-;-;-;-;-;-;-	651	1590	1296	1772	105	102	88
PY17X_0702000	Py17X_07_v3;Py17X_07_v3	260550;263619	263490;265486	-;-	4809	401	507	395	1501	1990	1984
PY17X_0702100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	268132;268286;268384;268652	268198;268306;268533;268971	+;+;+;+	558	1141	813	1157	899	771	1191
PY17X_0702200	Py17X_07_v3	271465	273339	+	1875	46	44	91	611	506	733
PY17X_0702300	Py17X_07_v3	274135	277233	-	3099	6091	5105	4635	140860	125341	153491
PY17X_0702400	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	279731;279892;280093;280339	279797;280005;280170;281597	+;+;+;+	1518	288	241	268	4610	5234	5297
PY17X_0702500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	282544;282756;283013;283370	282595;282831;283226;284056	+;+;+;+	1029	243	191	298	2118	2721	3294
PY17X_0702600	Py17X_07_v3	285523	286812	+	1290	667	506	674	283	446	347
PY17X_0702700	Py17X_07_v3	288438	290087	+	1650	7306	5674	7380	8361	6623	8968
PY17X_0702800	Py17X_07_v3	290374	294267	-	3894	1625	1530	1570	1267	1064	1472
PY17X_0702900	Py17X_07_v3	294890	297688	+	2799	371	496	390	15	62	36
PY17X_0703000	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	297849;298109;298778;299058	297954;298549;298906;299182	-;-;-;-	801	10489	8854	11435	7440	8865	9718
PY17X_0703100	Py17X_07_v3;Py17X_07_v3	301550;301903	301722;303178	+;+	1449	30987	22017	35578	13035	14423	16010
PY17X_0703200	Py17X_07_v3	304383	310784	-	6402	3696	3556	4156	1042	850	1000
PY17X_0703300	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	313454;313708;314004	313702;313998;315176	+;+;+	1713	222	298	360	17	10	31
PY17X_0703400	Py17X_07_v3;Py17X_07_v3	315745;319344	319236;320273	+;+	4422	1199	1317	1848	127	84	139
PY17X_0703500	Py17X_07_v3	320752	321714	-	963	5765	5593	5689	29	36	33
PY17X_0703600	Py17X_07_v3	322960	323601	-	642	4124	4253	4697	352	375	404
PY17X_0703700	Py17X_07_v3	324168	325361	-	1194	140	115	302	2027	2374	2244
PY17X_0703800	Py17X_07_v3	325981	329058	-	3078	107672	88831	88042	5357	7878	6593
PY17X_0703900	Py17X_07_v3	329877	333203	-	3327	1190	2076	1828	277	217	344
PY17X_0704000	Py17X_07_v3	334373	337795	+	3423	1174	1185	1256	186	193	189
PY17X_0704100	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	338323;340799;340950	340611;340837;340958	-;-;-	2337	7007	4832	4899	9593	11032	10109
PY17X_0704200	Py17X_07_v3;Py17X_07_v3	344030;344778	344156;345619	+;+	969	6940	5782	8002	1122	1173	1477
PY17X_0704300	Py17X_07_v3	346558	347382	+	825	1732	1585	2064	37	43	61
PY17X_0704400	Py17X_07_v3	348354	352076	-	3723	1748	1674	1899	6987	4556	7198
PY17X_0704500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	354321;354462;354649;354957;355249;355520;355911;356186	354334;354517;354740;355099;355365;355771;356013;356329	+;+;+;+;+;+;+;+	921	715	662	912	1721	2021	2140
PY17X_0704600	Py17X_07_v3	356885	358009	-	1125	1487	1607	2065	933	802	1343
PY17X_0704700	Py17X_07_v3	360020	361342	+	1323	3536	3587	3620	1239	951	1375
PY17X_0704800	Py17X_07_v3	364232	386731	+	22500	4548	4521	3742	25563	13534	18220
PY17X_0704900	Py17X_07_v3	387232	389853	-	2622	424	383	376	15	9	13
PY17X_0705000	Py17X_07_v3	390996	392462	-	1467	19736	18658	20263	73	34	74
PY17X_0705100	Py17X_07_v3	394298	395458	-	1161	183632	200954	197808	54	81	73
PY17X_0705200	Py17X_07_v3	396546	397409	+	864	169050	208440	194731	28	33	47
PY17X_0705300	Py17X_07_v3	398254	398511	+	258	453	363	534	107	140	149
PY17X_0705400	Py17X_07_v3	399066	400994	-	1929	2581	2374	2265	365	405	533
PY17X_0705500	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	402090;402257;402460;402845;403140	402111;402311;402615;402931;403185	-;-;-;-;-	366	3439	2992	4314	1739	2166	2397
PY17X_0705600	Py17X_07_v3	403893	404348	+	456	994	967	1078	45	71	80
PY17X_0705700	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	404750;405048;405239;405395	404923;405114;405309;405571	-;-;-;-	489	103	65	62	534	340	605
PY17X_0705800	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	406189;406465;406680;406915;407196;407362	406311;406563;406787;407010;407254;407434	-;-;-;-;-;-	558	229	133	186	20724	20772	24772
PY17X_0705900	Py17X_07_v3;Py17X_07_v3	408163;408411	408232;413089	-;-	4749	54066	49394	44067	128	154	100
PY17X_0706000	Py17X_07_v3	415849	418869	+	3021	218	187	206	20	20	19
PY17X_0706100	Py17X_07_v3	419194	422568	-	3375	1200	1206	1316	807	707	825
PY17X_0706200	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	423310;423597;423751;423911;424203;424472;424640;424790;425011;425276;425448;425642;425865;426279;426562;426894	423402;423640;423820;424089;424310;424560;424674;424864;425147;425342;425506;425722;426013;426451;426720;427127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1752	2014	1924	2490	261	189	280
