# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/read_counts/Rbpm1_KO_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/Rbpm1_KO/map/Rbpm1_KO_Rep3.bam.sort.bam
PY17X_0700003	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	3127;3282;4230	3192;4124;4244	-;-;-	924	19	4	18
PY17X_0700005	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	6596;6773;7714	6682;7576;7728	-;-;-	906	14	5	9
PY17X_0700007	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	10283;10480;11432	10375;11295;11464	-;-;-	942	6	6	0
PY17X_0700009	Py17X_07_v3;Py17X_07_v3	14344;15201	15033;15269	-;-	759	0	0	0
PY17X_0700011	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	17422;17591;18586	17487;18448;18600	-;-;-	939	0	0	8
PY17X_0700013	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	20870;21047;21916	20956;21790;21930	-;-;-	846	0	0	0
PY17X_0700015	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	25598;25872;26204;26477;26667;27056	25737;26115;26273;26586;26855;27079	+;+;+;+;+;+	777	0	0	0
PY17X_0700017	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	27995;28273;28585;28799;28993;29328	28125;28495;28654;28908;29211;29423	+;+;+;+;+;+	849	0	0	4
PY17X_0700019	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	30547;30723;31683	30633;31571;31697	-;-;-	951	0	0	0
PY17X_0700021	Py17X_07_v3;Py17X_07_v3;Py17X_07_v3	34078;34252;35113	34167;34992;35127	-;-;-	846	0	0	0
