# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/reference/PlasmoDB-62_PbergheiANKA.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/featurecounts/pb_2017_final_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam
PBANKA_0000101	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	2;963	850;1466	+;+	1353	0	2	0	4	3	0
PBANKA_0000201	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	3142;3488;3498	3357;3496;3563	-;-;-	291	0	0	0	0	1	0
PBANKA_0000301	PbANKA_00_v3_archived_contig_1	5519	6295	-	777	71	78	69	201	182	122
PBANKA_0000401	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	7677;8040;8312;8575	7802;8309;8572;8886	+;+;+;+	969	0	0	0	2	0	2
PBANKA_0000600	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	11314;11448;12270	11328;12185;12359	+;+;+	843	6	8	0	16	29	2
PBANKA_0000701	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	14967;15089;16003	14981;15913;16089	+;+;+	927	0	0	0	35	13	16
PBANKA_0000801	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	18408;18555;19447	18422;19361;19512	+;+;+	888	0	1	0	10	2	0
PBANKA_0000901	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	21684;21950;22264;22527;22839;23171	21788;22168;22376;22596;22921;23789	-;-;-;-;-;-	1209	0	0	0	0	0	0
PBANKA_0001001	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	27649;27800;28783	27663;28693;28863	+;+;+	990	138	157	117	2322	1525	1632
PBANKA_0001101	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	31295;31417;32352	31309;32262;32438	+;+;+	948	23	22	13	38	51	28
PBANKA_0001201	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	34779;34900;35808	34793;35718;35894	+;+;+	921	16	32	7	56	55	27
PBANKA_0001301	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	38189;38340;39323	38203;39218;39385	+;+;+	957	6	4	0	7	9	6
PBANKA_0001401	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	41897;42039;43017	41914;42926;43091	+;+;+	981	28	16	9	15	33	7
PBANKA_0001501	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	45928;46051;46961	45942;46845;47041	+;+;+	891	0	0	0	0	0	0
PBANKA_0001601	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	48795;49123;49440;49713;49878;50287	48965;49356;49543;49782;50145;50417	-;-;-;-;-;-	978	0	0	0	1	2	0
PBANKA_0006300	PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1	53843;53985;54945	53857;54854;55016	+;+;+	957	6	6	2	18	20	12
PBANKA_0006401	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	733;895;1065;1375	804;1062;1372;1555	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0006501	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	3023;3185;3355;3665	3094;3352;3662;3845	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0006600	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	5313;5475;5645;5955	5384;5642;5952;6135	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0006701	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	7603;7765;7935;8245	7674;7932;8242;8428	-;-;-;-	732	0	0	0	0	0	0
PBANKA_0006800	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	9893;10055;10225;10535	9964;10222;10532;10715	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0006900	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	12183;12345;12515;12825	12254;12512;12822;13005	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0007000	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	14473;14635;14805;15115	14544;14802;15112;15292	-;-;-;-	726	0	0	0	0	0	0
PBANKA_0007100	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	16763;16925;17095;17405	16834;17092;17402;17585	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0007200	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	19053;19215;19385;19695	19124;19382;19692;19875	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0007300	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	21343;21505;21675;21985	21414;21672;21982;22165	-;-;-;-	729	0	0	0	0	0	0
PBANKA_0007401	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	23498;23663;24694	23572;24568;24711	-;-;-	999	2	0	0	0	1	0
PBANKA_0007501	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	28137;28409;28772;29011;29198;29589	28267;28676;28841;29114;29431;29759	+;+;+;+;+;+	978	0	0	0	0	0	0
PBANKA_0007601	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	31539;31709;32612	31619;32503;32626	-;-;-	891	0	0	0	0	0	1
PBANKA_1000011	PbANKA_10_v3;PbANKA_10_v3	1847;2038	1898;10268	+;+	8283	17	26	8	195	169	130
PBANKA_1000021	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	11471;11833;12104;12337;12525;12951	11586;11900;12172;12446;12755;13055	+;+;+;+;+;+	699	0	0	0	0	0	0
PBANKA_1000031	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	14535;14709;15632	14624;15512;15646	-;-;-	909	0	0	0	3	2	4
PBANKA_1000041	PbANKA_10_v3;PbANKA_10_v3	18312;19157	18989;19225	-;-	747	0	0	0	2	4	2
PBANKA_1000051	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	20337;20602;20953;21180;21393;21824	20467;20857;21019;21289;21625;21860	+;+;+;+;+;+	834	1	0	0	2	2	1
PBANKA_1000061	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	22360;22499;22555;23087;23425	22395;22553;23084;23287;23439	-;-;-;-;-	837	0	0	0	2	0	0
PBANKA_1000071	PbANKA_10_v3;PbANKA_10_v3	25982;26823	26650;26891	-;-	738	0	1	0	0	0	0
PBANKA_1000081	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	28321;28803;31169	28692;31046;31183	-;-;-	2631	0	0	0	0	2	2
PBANKA_1000091	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	33947;34164;35059	34006;34922;35070	-;-;-	831	3	4	1	25	19	12
PBANKA_1000100	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	40827;41009;42147	40881;42145;49186	+;+;+	8232	0	2	4	17	13	6
PBANKA_1000200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	50540;50849;51180;51413;51626;52055	50679;51080;51249;51525;51859;52159	+;+;+;+;+;+	894	0	0	0	0	0	0
PBANKA_1000300	PbANKA_10_v3;PbANKA_10_v3	53159;54280	54106;54366	-;-	1035	1535	1396	1235	3349	4010	3285
PBANKA_1000400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	55767;56012;56350;56611;56762;57213	55820;56245;56459;56680;56996;57301	-;-;-;-;-;-	792	184	150	117	1074	1042	750
PBANKA_1000451	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	58393;58502;58695;58942;59226;59395	58410;58693;58940;59223;59306;59454	+;+;+;+;+;+	879	2	1	0	10	9	17
PBANKA_1000500	PbANKA_10_v3;PbANKA_10_v3	60958;61134	61040;62961	-;-	1911	862	699	584	3108	2854	2814
PBANKA_1000600	PbANKA_10_v3;PbANKA_10_v3	65304;65537	65396;66403	+;+	960	2574	2209	1163	11425	12983	9778
PBANKA_1000651	PbANKA_10_v3	68139	68212	+	74	0	0	1	0	0	0
PBANKA_1000700	PbANKA_10_v3	68912	70606	-	1695	1718	1281	1249	1649	1359	1189
PBANKA_1000800	PbANKA_10_v3	71642	72712	+	1071	519	529	373	807	1006	626
PBANKA_1000900	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	73156;73334;73540;73725;73995	73224;73408;73605;73795;74160	-;-;-;-;-	447	121	126	119	109	89	54
PBANKA_1001000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	75379;80275;85247	80076;85107;85747	+;+;+	10032	1119	1172	973	1871	1856	1026
PBANKA_1001100	PbANKA_10_v3	87146	88306	+	1161	1368	1188	1336	1288	1177	1141
PBANKA_1001200	PbANKA_10_v3	89790	92705	+	2916	309	257	285	1980	1544	2526
PBANKA_1001300	PbANKA_10_v3;PbANKA_10_v3	93404;95459	95319;95906	-;-	2364	451	349	329	2366	2143	2577
PBANKA_1001400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	100930;101163;101679;101895;102105;103726	101043;101462;101777;102002;103508;103752	-;-;-;-;-;-	2052	10905	9840	9730	7435	7337	6427
PBANKA_1001500	PbANKA_10_v3	106618	108693	-	2076	1538	1181	1501	3631	2866	4329
PBANKA_1001600	PbANKA_10_v3;PbANKA_10_v3	113306;113746	113587;116886	+;+	3423	4151	3483	4171	1416	1224	1038
PBANKA_1001700	PbANKA_10_v3;PbANKA_10_v3	117475;117950	117669;118033	-;-	279	176	137	175	303	294	303
PBANKA_1001800	PbANKA_10_v3;PbANKA_10_v3	118908;119542	119309;129336	-;-	10197	431	384	404	997	782	906
PBANKA_1001900	PbANKA_10_v3;PbANKA_10_v3	131268;131453	131348;131827	-;-	456	222	168	95	608	678	368
PBANKA_1002000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	132916;133129;133530;133883;134079;135308;135484;135800;136096	133013;133380;133698;133946;135192;135359;135517;135855;136098	-;-;-;-;-;-;-;-;-	1842	5470	4614	4579	18731	15320	17842
PBANKA_1002100	PbANKA_10_v3	137743	138801	-	1059	18955	18061	17744	281	581	114
PBANKA_1002200	PbANKA_10_v3	140415	141833	-	1419	10	10	12	4	6	2
PBANKA_1002300	PbANKA_10_v3	146703	158627	+	11925	265	226	307	109	105	51
PBANKA_1002400	PbANKA_10_v3;PbANKA_10_v3	158869;161303	161105;161537	-;-	2472	195	200	106	657	729	237
PBANKA_1002500	PbANKA_10_v3;PbANKA_10_v3	162389;162760	162497;164357	-;-	1707	4382	4110	4284	2206	1892	2138
PBANKA_1002600	PbANKA_10_v3	165645	166841	-	1197	363	361	290	2083	2017	1914
PBANKA_1002700	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	168063;168615;169155	168318;168918;170286	-;-;-	1692	152	139	154	429	469	232
PBANKA_1002800	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	171451;171722;171919;172121;172614	171574;171803;171985;172501;176105	-;-;-;-;-	4146	5225	4162	4567	4370	3763	3077
PBANKA_1002900	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	179420;179747;180025;180315;180548;180946;181227;181647;181851	179549;179887;180211;180373;180711;181069;181486;181734;182167	+;+;+;+;+;+;+;+;+	1470	71	53	63	262	265	146
PBANKA_1003000	PbANKA_10_v3	183231	190310	-	7080	81	65	16	343	282	145
PBANKA_1003100	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	193714;193943;194126	193761;194009;202860	+;+;+	8850	6148	5591	5042	7062	7573	3370
PBANKA_1003200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	203579;203841;204240	203693;204040;204524	-;-;-	600	889	856	941	666	613	310
PBANKA_1003300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	205453;205616;206131;206486;206727;206865;207094;207230;207436	205489;205932;206248;206627;206769;206992;207143;207294;207480	+;+;+;+;+;+;+;+;+	945	763	760	691	6498	5634	7834
PBANKA_1003400	PbANKA_10_v3	208170	214958	-	6789	7563	6435	8009	32318	25374	39170
PBANKA_1003500	PbANKA_10_v3	218044	218358	+	315	1062	988	917	1380	1645	1479
PBANKA_1003600	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	219228;220817;221373;221641	220726;221245;221454;221793	-;-;-;-	2163	288	253	222	2544	2295	2196
PBANKA_1003700	PbANKA_10_v3	223874	225427	+	1554	2058	1863	1769	11767	11538	13987
PBANKA_1003800	PbANKA_10_v3;PbANKA_10_v3	226677;228209	228052;228317	-;-	1485	5421	4126	4613	10456	9985	9937
PBANKA_1003900	PbANKA_10_v3	230862	231395	+	534	15	18	17	46	65	17
PBANKA_1004000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	232788;233153;233327;233509;233703;233958;234384	232793;233217;233372;233584;233816;234222;234603	+;+;+;+;+;+;+	792	1069	895	710	1552	1677	746
PBANKA_1004100	PbANKA_10_v3;PbANKA_10_v3	234990;235371	235180;237411	-;-	2232	1444	1357	1392	2805	2413	2939
PBANKA_1004200	PbANKA_10_v3	239361	239768	+	408	568	473	501	942	621	514
PBANKA_1004300	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	240422;240600;240898;241133;241447;241853;242283;242496;243613;243967;244178;244322;244535	240485;240775;241012;241230;241719;242077;242369;243449;243891;244047;244216;244442;244590	+;+;+;+;+;+;+;+;+;+;+;+;+	2568	1592	1614	1673	1658	1617	1335
PBANKA_1004400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	244625;244848;245054;245445;245727	244729;244937;245304;245525;246057	-;-;-;-;-	858	2894	2705	2463	2328	2556	1789
